Engg Per,Uni_Grade,Experinece,Interview_Score,No_Patents,Test_Marks,Qualification,Salary
64,4,4,6,1,30,Bachelor,707000
66,4,15,7,2,35,Master,2880000
81,3,4,8,0,40,Master,870000
63,2,20,6,2,30,Bachelor,3059000
56,3,9,6,2,30,Bachelor,2021000
58,2,8,6,1,30,Ph.D,1970000
55,1,3,6,2,30,Ph.D,1060000
59,4,8,6,1,30,Bachelor,1546000
81,1,15,8,2,40,Bachelor,2313000
74,1,13,7,1,35,Bachelor,1771000
60,3,2,6,2,30,Master,1350000
67,4,10,7,2,35,Ph.D,2351000
77,4,8,8,1,40,Ph.D,2264000
54,2,7,5,2,25,Master,1389000
76,3,7,8,1,40,Bachelor,810000
80,1,17,8,1,40,Bachelor,2440000
54,2,8,5,2,25,Bachelor,1373000
66,,1,7,0,35,Ph.D,492000
82,3,18,8,0,40,Ph.D,2691000
62,2,11,6,2,30,Ph.D,2651000
85,,9,9,1,45,Bachelor,1599000
53,,8,5,0,25,Bachelor,1201000
83,,13,8,1,40,Bachelor,1677000
693,4,16,7,2,35,Ph.D,3421000
80,,12,8,1,40,Bachelor,1347000
54,,17,5,2,25,Bachelor,2126000
71,3,5,7,1,35,Ph.D,1827000
69,3,13,7,1,35,Ph.D,2201000
65,4,12,7,1,35,Bachelor,1995000
77,4,20,8,2,40,Bachelor,2756000
602,3,19,6,2,30,Ph.D,3497000
68,,20,7,0,35,Master,2350000
76,4,4,8,1,40,Ph.D,1684000
82,,17,8,1,40,Bachelor,2071000
66,2,6,7,2,35,Bachelor,1144000
54,2,1,5,2,25,Bachelor,437000
57,4,0,6,2,30,Bachelor,1009000
64,4,0,6,1,30,Ph.D,845000
72,4,2,7,2,35,,1032000
59,3,20,6,1,30,Ph.D,3249000
81,,14,8,1,40,Master,1772000
50,2,7,5,2,25,Ph.D,1520000
501,3,16,5,0,25,,1625000
770,3,4,8,0,40,Ph.D,917000
59,2,1,6,1,30,Bachelor,307000
68,4,14,7,1,35,,2020000
72,1,0,7,2,35,Bachelor,922000
66,3,7,7,1,35,Ph.D,1943000
64,4,10,6,1,30,Ph.D,2209000
69,4,15,7,2,35,Master,2537000
76,3,12,8,2,40,,2083000
52,4,19,5,0,25,Ph.D,2896000
,4,6,8,1,40,Bachelor,1618000
77,3,5,8,0,40,Bachelor,651000
77,1,19,8,2,40,Bachelor,2847000
,3,2,8,1,40,Master,675000
69,1,6,7,2,35,Master,1266000
,3,13,8,1,40,Master,1978000
,1,20,8,2,40,Bachelor,3019000
,3,18,8,2,40,Master,2836000
,4,4,8,1,40,Ph.D,1327000
,3,16,8,2,40,Bachelor,2695000
50,1,18,5,1,25,Bachelor,2409000
,3,1,8,1,40,Ph.D,700000
65,4,20,7,1,35,Bachelor,2532000
71,1,13,7,1,35,Bachelor,1556000
66,1,1,7,0,35,Ph.D,1024000
57,1,11,6,1,30,Ph.D,1527000
668,3,4,7,1,35,Ph.D,1075000
65,2,18,7,2,35,Ph.D,2722000
,4,1,7,0,35,Ph.D,886000
56,3,11,6,1,30,Bachelor,1773000
64,1,13,6,1,30,Ph.D,1981000
60,3,17,6,0,30,Ph.D,2626000
,1,18,8,1,40,Ph.D,2922000
,4,13,8,2,40,Ph.D,2489000
62,4,5,6,1,30,Bachelor,1127000
,4,0,7,2,35,Master,828000
,3,0,7,1,35,Ph.D,1044000
63,3,18,6,1,30,Bachelor,2474000
,4,5,7,0,35,Bachelor,1456000
,3,14,7,1,35,Ph.D,2354000
,1,6,9,0,45,Master,747000
59,1,2,6,1,30,Ph.D,861000
56,1,4,6,1,30,Master,1076000
,4,15,8,2,40,Ph.D,2975000
,1,13,8,2,40,Bachelor,2281000
82,2,6,8,2,40,Bachelor,1678000
61,3,4,6,0,30,Bachelor,773000
51,1,7,5,0,25,Master,1263000
,4,16,7,0,35,Master,1920000
,4,6,7,1,35,Ph.D,1634000
800,3,15,8,0,40,Bachelor,1696000
73,1,8,7,0,35,Master,1612000
64,3,7,6,2,30,Bachelor,1618000
72,3,9,7,1,35,Ph.D,1566000
,2,9,8,2,40,Master,1988000
73,4,6,7,2,35,Ph.D,2163000
82,3,4,8,1,40,Bachelor,1096000
62,2,18,6,1,30,Master,2150000
82,4,6,8,2,40,Ph.D,2151000
57,3,17,6,0,30,Master,2279000
64,1,18,6,2,30,Ph.D,2874000
,1,6,8,0,40,Master,1132000
80,3,11,8,1,40,Master,1576000
51,2,6,5,2,25,Master,1446000
77,2,2,8,0,40,Bachelor,518000
,2,19,7,1,35,Bachelor,2102000
62,2,3,6,2,30,Bachelor,1426000
,2,8,7,2,35,Ph.D,1705000
55,2,6,6,1,30,Ph.D,1364000
57,2,14,6,0,30,Ph.D,2302000
53,2,1,5,2,25,Ph.D,1121000
75,1,5,8,1,40,Master,619000
53,2,11,5,2,25,Ph.D,2224000
66,2,3,7,1,35,Bachelor,729000
73,3,17,7,0,35,Ph.D,2224000
63,2,4,6,0,30,Master,969000
78,4,18,8,1,40,Bachelor,2175000
74,2,7,7,1,35,Bachelor,784000
58,4,0,6,2,30,Bachelor,1162000
56,2,7,6,0,30,Ph.D,1713000
52,1,10,5,1,25,Bachelor,1259000
71,4,15,7,0,35,Bachelor,2506000
74,4,18,7,1,35,Master,2852000
62,4,5,6,1,30,Ph.D,1865000
51,3,19,5,2,25,Bachelor,2315000
75,1,15,8,2,40,Bachelor,2225000
58,2,10,6,2,30,Bachelor,2014000
54,3,8,5,2,25,Bachelor,1860000
85,1,15,9,0,45,Ph.D,2131000
82,2,19,8,1,40,Bachelor,2517000
58,4,3,6,1,30,Ph.D,1026000
55,3,4,6,2,30,Bachelor,1099000
60,4,8,6,2,30,Ph.D,2363000
60,1,12,6,0,30,Bachelor,1628000
66,1,19,7,1,35,Master,2261000
78,2,16,8,0,40,Ph.D,2396000
56,3,13,6,0,30,Master,1771000
82,1,6,8,2,40,Master,1386000
76,2,7,8,0,40,Bachelor,890000
55,1,11,6,2,30,Bachelor,1730000
71,3,5,7,2,35,Master,1490000
62,3,18,6,0,30,Master,2175000
64,2,18,6,2,30,Bachelor,2602000
68,3,1,7,2,35,Ph.D,995000
56,2,20,6,2,30,Master,2534000
85,4,6,9,1,45,Bachelor,1016000
69,2,9,7,0,35,Ph.D,1417000
68,2,7,7,2,35,Master,1337000
59,3,5,6,1,30,Ph.D,992000
65,1,15,7,2,35,Ph.D,2979000
53,4,12,5,0,25,Master,1700000
65,1,2,7,2,35,Master,1061000
51,1,0,5,1,25,Bachelor,392000
77,2,10,8,0,40,Ph.D,1949000
61,2,8,6,0,30,Ph.D,1271000
51,2,2,5,2,25,Master,1294000
52,1,0,5,2,25,Ph.D,872000
59,4,20,6,1,30,Bachelor,2499000
84,3,10,8,2,40,Bachelor,1527000
79,2,0,8,0,40,Bachelor,175000
77,4,10,8,2,40,Master,1902000
62,3,4,6,2,30,Bachelor,1085000
70,3,8,7,1,35,Master,1608000
74,1,15,7,1,35,Bachelor,2076000
58,2,12,6,1,30,Bachelor,1624000
79,4,8,8,2,40,Ph.D,2587000
51,4,11,5,0,25,Ph.D,1723000
56,2,13,6,2,30,Bachelor,1708000
75,4,16,8,2,40,Ph.D,3244000
78,4,3,8,1,40,Ph.D,1349000
53,1,15,5,1,25,Bachelor,2147000
